date,PRC
9/25/2007,65.97
9/26/2007,65.53
9/27/2007,65.97
9/28/2007,66.33
10/1/2007,67.99
10/2/2007,68.98
10/3/2007,68.96
10/4/2007,69.43
10/5/2007,69.61
10/8/2007,68.95
10/9/2007,69.24
10/10/2007,69.2
10/11/2007,68.68
10/12/2007,68.88
10/15/2007,68.1
10/16/2007,67.2
10/17/2007,67.38
10/18/2007,67.8
10/19/2007,65.8
10/22/2007,65.89
10/23/2007,66.06
10/24/2007,65.81
10/25/2007,64.4
10/26/2007,66.15
10/29/2007,65.94
10/30/2007,66.4
10/31/2007,67.7
11/1/2007,64.3
11/2/2007,63.01
11/5/2007,61.75
11/6/2007,62.65
11/7/2007,60.25
11/8/2007,60.97
11/9/2007,59.55
11/12/2007,58.76
11/13/2007,61.7
11/14/2007,61.02
11/15/2007,60.25
11/16/2007,60.28
11/19/2007,58.33
11/20/2007,57.41
11/21/2007,56.59
11/23/2007,57.17
11/26/2007,55.93
11/27/2007,57.94
11/28/2007,60.52
11/29/2007,60.28
11/30/2007,60.32
12/3/2007,60.23
12/4/2007,59.85
12/5/2007,60.49
12/6/2007,61.65
12/7/2007,61.9
12/10/2007,63.63
12/11/2007,61.76
12/12/2007,62.89
12/13/2007,61.68
12/14/2007,59.97
12/17/2007,58.77
12/18/2007,58.77
12/19/2007,58.17
12/20/2007,58.64
12/21/2007,59.43
12/24/2007,59.79
12/26/2007,60.04
12/27/2007,59.6
12/28/2007,60.17
12/31/2007,60.1
1/2/2008,59.68
1/3/2008,59.76
1/4/2008,58.62
1/7/2008,57.34
1/8/2008,55.23
1/9/2008,56.96
1/10/2008,57.65
1/11/2008,57
1/14/2008,58.32
1/15/2008,56.8
1/16/2008,54.39
1/17/2008,52.3
1/18/2008,51.57
1/22/2008,50.55
1/23/2008,53.04
1/24/2008,55.26
1/25/2008,53.95
1/28/2008,55.42
1/29/2008,56.04
1/30/2008,56.97
1/31/2008,56.77
2/1/2008,58.33
2/4/2008,56.24
2/5/2008,52.8
2/6/2008,51.8
2/7/2008,52.18
2/8/2008,51.72
2/11/2008,50.83
2/12/2008,51.56
2/13/2008,52.17
2/14/2008,50.8
2/15/2008,50.88
2/19/2008,48.22
2/20/2008,49.28
2/21/2008,47.72
2/22/2008,48.46
2/25/2008,49.27
2/26/2008,50.54
2/27/2008,51.1
2/28/2008,50.82
2/29/2008,48.92
3/3/2008,49.55
3/4/2008,49.34
3/5/2008,48.68
3/6/2008,47.72
3/7/2008,47.84
3/10/2008,46.55
3/11/2008,50.12
3/12/2008,51.19
3/13/2008,50.85
3/14/2008,48.79
3/17/2008,46.22
3/18/2008,51.62
3/19/2008,49.85
3/20/2008,49.48
3/24/2008,50.82
3/25/2008,51.27
3/26/2008,50.89
3/27/2008,50.3
3/28/2008,50.09
3/31/2008,50.88
4/1/2008,55.04
4/2/2008,56.55
4/3/2008,56.07
4/4/2008,56.03
4/7/2008,57.03
4/8/2008,56.59
4/9/2008,54.94
4/10/2008,53.83
4/11/2008,53.65
4/14/2008,51.91
4/15/2008,52.11
4/16/2008,53.42
4/17/2008,52.91
4/18/2008,53.45
4/21/2008,53.76
4/22/2008,52.86
4/23/2008,51.61
4/24/2008,54.06
4/25/2008,54.91
4/28/2008,55.91
4/29/2008,52.89
4/30/2008,53.35
5/1/2008,55.11
5/2/2008,55.49
5/5/2008,55.27
5/6/2008,54.56
5/7/2008,53.73
5/8/2008,54.13
5/9/2008,54.17
5/12/2008,54.51
5/13/2008,54.21
5/14/2008,53.77
5/15/2008,54.85
5/16/2008,54.32
5/19/2008,53.79
5/20/2008,53.61
5/21/2008,52.1
5/22/2008,52.2
5/23/2008,52.29
5/27/2008,50.97
5/28/2008,51.16
5/29/2008,50.71
5/30/2008,50.89
6/2/2008,50.32
6/3/2008,49.2
6/4/2008,49.03
6/5/2008,50.58
6/6/2008,48.99
6/9/2008,47.86
6/10/2008,46.98
6/11/2008,46.62
6/12/2008,46.63
6/13/2008,48.28
6/16/2008,47.99
6/17/2008,48.19
6/18/2008,47.84
6/19/2008,47
6/20/2008,45.83
6/23/2008,44.82
6/24/2008,45.24
6/25/2008,46.65
6/26/2008,45.25
6/27/2008,45.18
6/30/2008,45.31
7/1/2008,44.62
7/2/2008,43.37
7/3/2008,44.12
7/7/2008,41.66
7/8/2008,42.31
7/9/2008,40.85
7/10/2008,41.98
7/11/2008,41.31
7/14/2008,40.12
7/15/2008,39.12
7/16/2008,42.03
7/17/2008,43.69
7/18/2008,44.43
7/21/2008,44.83
7/22/2008,47.08
7/23/2008,47.97
7/24/2008,49.11
7/25/2008,48.85
7/28/2008,46.65
7/29/2008,50.16
7/30/2008,51.04
7/31/2008,49.88
8/1/2008,50.04
8/4/2008,49.85
8/5/2008,52.99
8/6/2008,52.62
8/7/2008,50.78
8/8/2008,51.59
8/11/2008,51.2
8/12/2008,49.5
8/13/2008,48
8/14/2008,47
8/15/2008,46.94
8/18/2008,45.85
8/19/2008,45.46
8/20/2008,45.51
8/21/2008,45.19
8/22/2008,46.03
8/25/2008,45.08
8/26/2008,44.83
8/27/2008,44.91
8/28/2008,46.7
8/29/2008,46.38
9/2/2008,46.88
9/3/2008,47.29
9/4/2008,44.93
9/5/2008,45.67
9/8/2008,47.7
9/9/2008,45.81
9/10/2008,45.76
9/11/2008,45.8
9/12/2008,46.39
9/15/2008,42.76
9/16/2008,43.86
9/17/2008,39.68
9/18/2008,48.27
9/19/2008,50.17
9/22/2008,51.3
9/23/2008,48.93
9/24/2008,50.72
9/25/2008,51.93
9/26/2008,52.15
9/29/2008,44.86
9/30/2008,48.28
10/1/2008,50
10/2/2008,46.1
10/3/2008,47
10/6/2008,46.33
10/7/2008,40.97
10/8/2008,42.8
10/9/2008,33.85
10/10/2008,32
10/13/2008,39.5
10/14/2008,43.58
10/15/2008,37.59
10/16/2008,42.5
10/17/2008,43.4
10/20/2008,44.85
10/21/2008,41.37
10/22/2008,37.37
10/23/2008,38.18
10/24/2008,36.84
10/27/2008,32.1
10/28/2008,33.69
10/29/2008,33.55
10/30/2008,36.79
10/31/2008,37.4
11/3/2008,36.9
11/4/2008,37.92
11/5/2008,33.5
11/6/2008,31.75
11/7/2008,33.44
11/10/2008,31.75
11/11/2008,30.1
11/12/2008,26.1
11/13/2008,28.38
11/14/2008,26.95
11/17/2008,25.26
11/18/2008,25.55
11/19/2008,21.52
11/20/2008,19.01
11/21/2008,21
11/24/2008,23.92
11/25/2008,26.87
11/26/2008,27.11
11/28/2008,29.61
12/1/2008,24.66
12/2/2008,25.48
12/3/2008,23.45
12/4/2008,24.76
12/5/2008,24.79
12/8/2008,28.11
12/9/2008,26.85
12/10/2008,27.28
12/11/2008,26.42
12/12/2008,25.44
12/15/2008,24.28
12/16/2008,27
12/17/2008,27.25
12/18/2008,27.42
12/19/2008,26.41
12/22/2008,25.02
12/23/2008,25.26
12/24/2008,25.69
12/26/2008,26.49
12/29/2008,26.72
12/30/2008,27.52
12/31/2008,28.26
